,University ID,Degree in Engineering,Degree in Math,Degree in Computer Science,Degree in Science and Tech,Region,Share of Female,Enrollment of UnderGrad,Mean Earning After 6 yrs of Grad (0-30k),Mean Earning After 6 yrs of Grad(30-75k),Mean Earning After 6 yrs of Grad(75k +),Mean Earning After 10 yrs of Grad (0-30k),Mean Earning After 10 yrs of Grad(30-75k),Mean Earning After 10 yrs of Grad(75k +)
322,115296,0.0,0.0,0.0,0.0,8,0.59985356,16304.0,27400,31000,40900,36800,44300,47500
327,115728,0.0,0.0,Degree in Computer Science,0.0,8,0.666666667,589.0,37900,44700,59700,54100,54800,63200
329,115755,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.587191572,7846.0,30600,30000,29700,39500,42000,39200
332,115931,0.0,0.0,0.0,0.0,8,0.488584475,587.0,27400,34900,43600,32600,43100,52300
341,117113,0.0,0.0,Degree in Computer Science,0.0,8,0.649788711,846.0,28000,37400,46100,43800,44400,50500
342,117140,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.624386826,5120.0,39900,44300,54800,47300,52100,59700
351,117627,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.633611691,1929.0,45900,41300,43600,50000,52400,62600
352,117636,0.0,0.0,0.0,0.0,8,0.708943089,1050.0,68500,71400,74700,104900,88100,75900
353,117645,0.0,0.0,0.0,0.0,8,0.566748742,23312.0,25200,28500,35400,32200,38500,42500
360,117751,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.459745763,1171.0,38500,37900,39200,42200,48600,59000
365,117928,0.0,0.0,Degree in Computer Science,0.0,8,0.649788711,472.0,28000,37400,46100,43800,44400,50500
366,117946,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.599121362,6257.0,73100,45600,45400,85100,64100,67000
372,118198,0.0,0.0,0.0,0.0,8,0.8,781.0,25000,33200,28800,29500,40000,43100
373,118259,0.0,0.0,0.0,0.0,8,0.855327468,319.0,18900,25200,25200,24100,33100,28900
374,118277,0.0,0.0,0.0,0.0,8,0.804831532,912.0,30100,41700,43800,38200,48400,56100
375,118286,0.0,0.0,0.0,0.0,8,0.789396171,494.0,22800,28800,32300,29800,34400,42800
379,118693,0.0,0.0,0.0,0.0,8,0.509493671,726.0,38200,41300,45800,56300,56800,65000
386,118967,0.0,0.0,0.0,0.0,8,0.661387632,622.0,25700,32400,32900,40400,51200,50100
389,119058,0.0,0.0,0.0,0.0,8,0.53432282,13.0,51200,41100,48900,71400,61000,78700
393,119173,0.0,Degree in Math,0.0,0.0,8,0.931246163,2575.0,54300,54700,65300,58000,62500,72700
395,119270,0.0,0.0,0.0,0.0,8,0.212460064,924.0,26000,28300,24600,36600,34700,39700
397,119553,0.0,0.0,0.0,0.0,8,0.697885196,954.0,21800,32200,34600,28800,41500,42800
398,119605,Degree in Engineering,B.S. Math,Degree in Computer Science,0.0,8,0.635379061,7360.0,42800,53100,62100,53300,61800,64700
406,120184,0.0,0.0,Degree in Computer Science,0.0,8,0.703213611,924.0,41000,52500,52800,56400,61600,71600
407,120254,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.584507042,1958.0,39300,41000,41100,54700,65300,58200
409,120342,0.0,0.0,0.0,0.0,8,0.488636364,20968.0,29700,31800,36700,43100,45100,49400
410,120403,0.0,0.0,0.0,0.0,8,0.616766467,1056.0,33600,34600,37700,51100,57700,48900
412,120537,0.0,0.0,0.0,0.0,8,0.54368932,727.0,30800,34800,42600,33200,43500,45300
418,120865,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.61641541,1181.0,44900,46300,51700,56200,60300,65500
419,120883,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.590138675,3542.0,62300,58300,61700,90900,82800,77800
423,121150,0.0,Degree in Math,0.0,0.0,8,0.587537092,3594.0,50200,60300,52400,88300,71100,74200
426,121309,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.685501859,3092.0,43200,41300,45100,53200,52900,55800
433,121691,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.592654424,3042.0,41500,49000,51700,52900,56400,61200
438,121901,0.0,0.0,0.0,0.0,8,0.602473498,18234.0,26500,30800,45400,35200,40900,46600
439,121983,0.0,0.0,Degree in Computer Science,0.0,8,0.649788711,90.0,28000,37400,46100,43800,44400,50500
442,122180,0.0,0.0,0.0,0.0,8,0.567534295,19408.0,27500,34500,46300,38400,46300,56600
444,122296,0.0,0.0,0.0,0.0,8,0.806104129,821.0,96200,98600,97300,106400,119800,113500
446,122366,0.0,0.0,0.0,0.0,8,0.780756537,118.0,19800,29200,33300,24800,34700,38700
447,122375,0.0,0.0,0.0,0.0,8,0.533120227,19856.0,30400,34500,38700,42400,43900,47300
449,122409,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.584202042,29781.0,40300,41200,43900,54300,54800,59300
450,122436,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.57300885,5677.0,61900,50800,52100,76200,66100,70000
453,122597,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.584023669,25966.0,42900,42100,40500,54000,55300,55600
455,122612,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.675536881,6796.0,54500,55400,62300,70600,70900,77300
457,122658,0.0,0.0,0.0,0.0,8,0.59752322,15003.0,25200,30600,37800,33900,42300,53100
458,122685,0.0,0.0,0.0,0.0,8,0.723209234,5239.0,25900,34100,42000,30500,36900,46400
459,122728,0.0,Degree in Math,0.0,0.0,8,0.622186495,1188.0,36200,36400,41000,44500,43900,46900
461,122755,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.521976626,27591.0,46500,47900,47900,62100,64200,67800
465,122889,0.0,0.0,0.0,0.0,8,0.54405495,13344.0,29800,33800,37300,39700,44700,52300
466,122931,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.54233871,5481.0,60400,59800,66500,88000,80400,86400
467,122977,0.0,0.0,0.0,0.0,8,0.540496094,27190.0,27100,29300,34300,39400,40400,60400
474,123341,0.0,0.0,0.0,0.0,8,0.585654178,16383.0,28000,33100,38400,34500,44700,48300
477,123457,0.0,Degree in Math,0.0,0.0,8,0.70323741,708.0,30800,33600,42000,36300,40200,43400
